Forno,Status_Ajustado,Media_dias
58,Carregado,1.0
58,Descarregado,1.0
58,Resfriando,2.6666666666666665
58,Vazio,3.6666666666666665
59,Carbonizando,3.3333333333333335
59,Carregado,1.0
59,Descarregado,1.0
59,Resfriando,1.6666666666666667
59,Vazio,3.6666666666666665
60,Carbonizando,2.6666666666666665
60,Carregado,1.0
60,Descarregado,1.0
60,Resfriando,2.3333333333333335
60,Vazio,4.0
