Forno,Bloco,Status_Ajustado,Data_Inicio,Data_Fim,Dias_no_Status
23,3,Carbonizando,2025-06-28,2025-07-01,4
23,4,Resfriando,2025-07-02,2025-07-06,5
23,5,Descarregado,2025-07-07,2025-07-07,1
24,1,Descarregado,2025-06-26,2025-06-26,1
24,2,Vazio,2025-06-27,2025-06-27,1
24,3,Carbonizando,2025-06-28,2025-07-01,4
24,4,Resfriando,2025-07-02,2025-07-06,5
24,5,Descarregado,2025-07-07,2025-07-07,1
25,1,Descarregado,2025-06-26,2025-06-26,1
25,2,Vazio,2025-06-27,2025-06-27,1
25,3,Carbonizando,2025-06-28,2025-06-29,2
25,4,Resfriando,2025-06-30,2025-07-06,7
25,5,Descarregado,2025-07-07,2025-07-07,1
26,1,Descarregado,2025-06-26,2025-06-26,1
26,2,Vazio,2025-06-27,2025-06-27,1
26,3,Carbonizando,2025-06-28,2025-06-30,3
26,4,Resfriando,2025-07-01,2025-07-06,6
26,5,Descarregado,2025-07-07,2025-07-07,1
27,1,Descarregado,2025-06-26,2025-06-26,1
27,2,Vazio,2025-06-27,2025-06-27,1
27,3,Carbonizando,2025-06-28,2025-06-29,2
27,4,Resfriando,2025-06-30,2025-07-03,4
27,5,Vazio,2025-07-04,2025-07-06,3
27,6,Carbonizando,2025-07-07,2025-07-07,1
28,1,Descarregado,2025-06-26,2025-06-26,1
28,2,Vazio,2025-06-27,2025-06-27,1
28,3,Carbonizando,2025-06-28,2025-07-01,4
28,4,Resfriando,2025-07-02,2025-07-06,5
28,5,Descarregado,2025-07-07,2025-07-07,1
29,1,Descarregado,2025-06-26,2025-06-26,1
29,2,Vazio,2025-06-27,2025-06-27,1
29,3,Carbonizando,2025-06-28,2025-06-29,2
29,4,Resfriando,2025-06-30,2025-07-01,2
29,5,Descarregado,2025-07-02,2025-07-02,1
29,6,Vazio,2025-07-03,2025-07-03,1
29,7,Carregado,2025-07-04,2025-07-04,1
29,8,Carbonizando,2025-07-05,2025-07-06,2
29,9,Resfriando,2025-07-07,2025-07-07,1
30,1,Descarregado,2025-06-26,2025-06-26,1
30,2,Vazio,2025-06-27,2025-06-27,1
30,3,Carbonizando,2025-06-28,2025-06-30,3
30,4,Resfriando,2025-07-01,2025-07-01,1
30,5,Descarregado,2025-07-02,2025-07-02,1
30,6,Vazio,2025-07-03,2025-07-03,1
30,7,Carregado,2025-07-04,2025-07-04,1
30,8,Carbonizando,2025-07-05,2025-07-07,3
31,1,Caído,2025-06-26,2025-07-07,12
32,1,Carbonizando,2025-06-26,2025-06-27,2
32,2,Resfriando,2025-06-28,2025-06-29,2
32,3,Descarregado,2025-06-30,2025-06-30,1
32,4,Vazio,2025-07-01,2025-07-04,4
32,5,Carbonizando,2025-07-05,2025-07-07,3
33,1,Carbonizando,2025-06-26,2025-06-27,2
33,2,Resfriando,2025-06-28,2025-06-29,2
33,3,Descarregado,2025-06-30,2025-06-30,1
33,4,Vazio,2025-07-01,2025-07-04,4
33,5,Carbonizando,2025-07-05,2025-07-07,3
34,1,Carbonizando,2025-06-26,2025-06-27,2
34,2,Resfriando,2025-06-28,2025-06-29,2
34,3,Descarregado,2025-06-30,2025-06-30,1
34,4,Vazio,2025-07-01,2025-07-05,5
34,5,Carregado,2025-07-06,2025-07-06,1
34,6,Carbonizando,2025-07-07,2025-07-07,1
35,1,Carbonizando,2025-06-26,2025-06-27,2
35,2,Resfriando,2025-06-28,2025-06-29,2
35,3,Descarregado,2025-06-30,2025-06-30,1
35,4,Vazio,2025-07-01,2025-07-06,6
35,5,Carbonizando,2025-07-07,2025-07-07,1
36,1,Carbonizando,2025-06-26,2025-06-27,2
36,2,Resfriando,2025-06-28,2025-06-29,2
36,3,Descarregado,2025-06-30,2025-06-30,1
36,4,Vazio,2025-07-01,2025-07-06,6
36,5,Carbonizando,2025-07-07,2025-07-07,1
37,1,Vazio,2025-06-26,2025-06-27,2
37,2,Carbonizando,2025-06-28,2025-06-30,3
37,3,Resfriando,2025-07-01,2025-07-06,6
37,4,Carbonizando,2025-07-07,2025-07-07,1
38,1,Em manutenção,2025-06-26,2025-07-07,12
39,1,Carbonizando,2025-06-26,2025-06-27,2
39,2,Resfriando,2025-06-28,2025-06-30,3
39,3,Descarregado,2025-07-01,2025-07-01,1
39,4,Vazio,2025-07-02,2025-07-06,5
39,5,Carbonizando,2025-07-07,2025-07-07,1
40,1,Carbonizando,2025-06-26,2025-06-28,3
40,2,Resfriando,2025-06-29,2025-06-30,2
40,3,Descarregado,2025-07-01,2025-07-01,1
40,4,Vazio,2025-07-02,2025-07-06,5
40,5,Carbonizando,2025-07-07,2025-07-07,1
41,1,Carbonizando,2025-06-26,2025-06-27,2
41,2,Resfriando,2025-06-28,2025-07-04,7
41,3,Vazio,2025-07-05,2025-07-07,3
42,1,Carbonizando,2025-06-26,2025-06-27,2
42,2,Resfriando,2025-06-28,2025-07-06,9
42,3,Carbonizando,2025-07-07,2025-07-07,1
43,1,Carbonizando,2025-06-26,2025-06-27,2
43,2,Resfriando,2025-06-28,2025-06-30,3
43,3,Descarregado,2025-07-01,2025-07-01,1
43,4,Vazio,2025-07-02,2025-07-06,5
43,5,Carbonizando,2025-07-07,2025-07-07,1
44,1,Carbonizando,2025-06-26,2025-06-28,3
44,2,Resfriando,2025-06-29,2025-06-30,2
44,3,Descarregado,2025-07-01,2025-07-01,1
44,4,Vazio,2025-07-02,2025-07-07,6
45,1,Carbonizando,2025-06-26,2025-06-30,5
45,2,Resfriando,2025-07-01,2025-07-03,3
45,3,Descarregado,2025-07-04,2025-07-04,1
45,4,Vazio,2025-07-05,2025-07-07,3
46,1,Caído,2025-06-26,2025-07-07,12
47,1,Carbonizando,2025-06-26,2025-06-28,3
47,2,Resfriando,2025-06-29,2025-06-30,2
47,3,Descarregado,2025-07-01,2025-07-01,1
47,4,Vazio,2025-07-02,2025-07-07,6
48,1,Caído,2025-06-26,2025-07-07,12
49,1,Carbonizando,2025-06-26,2025-06-29,4
49,2,Resfriando,2025-06-30,2025-07-01,2
49,3,Descarregado,2025-07-02,2025-07-02,1
49,4,Vazio,2025-07-03,2025-07-07,5
50,1,Caído,2025-06-26,2025-07-01,6
50,2,Vazio,2025-07-02,2025-07-07,6
51,1,Carbonizando,2025-06-26,2025-06-28,3
51,2,Resfriando,2025-06-29,2025-07-02,4
51,3,Descarregado,2025-07-03,2025-07-03,1
51,4,Vazio,2025-07-04,2025-07-07,4
52,1,Carbonizando,2025-06-26,2025-06-28,3
52,2,Resfriando,2025-06-29,2025-07-02,4
52,3,Descarregado,2025-07-03,2025-07-03,1
52,4,Vazio,2025-07-04,2025-07-07,4
53,1,Carregado,2025-06-26,2025-06-26,1
53,2,Carbonizando,2025-06-27,2025-06-28,2
53,3,Resfriando,2025-06-29,2025-07-02,4
53,4,Descarregado,2025-07-03,2025-07-03,1
53,5,Vazio,2025-07-04,2025-07-07,4
54,1,Carregado,2025-06-26,2025-06-26,1
54,2,Carbonizando,2025-06-27,2025-06-28,2
54,3,Resfriando,2025-06-29,2025-07-06,8
54,4,Vazio,2025-07-07,2025-07-07,1
55,1,Vazio,2025-06-26,2025-06-26,1
55,2,Carbonizando,2025-06-27,2025-06-29,3
55,3,Resfriando,2025-06-30,2025-07-02,3
55,4,Descarregado,2025-07-03,2025-07-03,1
55,5,Vazio,2025-07-04,2025-07-07,4
56,1,Vazio,2025-06-26,2025-06-26,1
56,2,Carbonizando,2025-06-27,2025-06-28,2
56,3,Resfriando,2025-06-29,2025-07-02,4
56,4,Descarregado,2025-07-03,2025-07-03,1
56,5,Vazio,2025-07-04,2025-07-07,4
57,1,Vazio,2025-06-26,2025-06-26,1
57,2,Carregado,2025-06-27,2025-06-27,1
57,3,Carbonizando,2025-06-28,2025-07-01,4
57,4,Resfriando,2025-07-02,2025-07-03,2
57,5,Vazio,2025-07-04,2025-07-07,4
58,1,Vazio,2025-06-26,2025-06-26,1
58,2,Carregado,2025-06-27,2025-06-27,1
58,3,Carbonizando,2025-06-28,2025-06-28,1
58,4,Resfriando,2025-06-29,2025-07-02,4
58,5,Descarregado,2025-07-03,2025-07-03,1
58,6,Vazio,2025-07-04,2025-07-07,4
59,1,Vazio,2025-06-26,2025-06-26,1
59,2,Carregado,2025-06-27,2025-06-27,1
59,3,Carbonizando,2025-06-28,2025-06-29,2
59,4,Resfriando,2025-06-30,2025-07-02,3
59,5,Descarregado,2025-07-03,2025-07-03,1
59,6,Vazio,2025-07-04,2025-07-07,4
60,1,Vazio,2025-06-26,2025-06-27,2
60,2,Carbonizando,2025-06-28,2025-06-29,2
60,3,Resfriando,2025-06-30,2025-07-02,3
60,4,Descarregado,2025-07-03,2025-07-03,1
60,5,Vazio,2025-07-04,2025-07-07,4
