FazendaNome,Data,Metragem,DensidadeSeca,Umidade
ALTO DA SERRA,2022-12-28,76.38,240.377,5.92
ALTO DA SERRA,2022-12-30,37.0,305.344,12.03
ALTO DA SERRA,2022-12-31,72.23,242.143,3.99
ALTO DA SERRA,2023-01-01,40.45,232.633,8.5
ALTO DA SERRA,2024-08-28,67.82,284.429,5.22
ALTO DA SERRA,2024-09-07,71.15,294.167,9.19
ALTO DA SERRA,2024-09-09,70.9,248.519,3.13
ALTO DA SERRA,2024-09-14,67.8,282.891,4.94
ALTO DA SERRA,2024-10-18,68.77,294.845,19.55
ALTO DA SERRA,2024-10-21,68.29,318.946,18.85
ALTO DA SERRA,2024-10-22,18.0,361.418,16.9
ALTO DA SERRA,2020-05-19,68.1,237.604,3.06
ALTO DA SERRA,2020-06-05,79.0,234.978,5.06
ALTO DA SERRA,2020-06-23,78.1,228.626,2.3
ALTO DA SERRA,2020-07-01,77.0,248.571,3.0
ALTO DA SERRA,2020-07-02,74.0,250.811,4.85
ALTO DA SERRA,2020-07-03,78.0,248.59,8.36
ALTO DA SERRA,2020-07-08,65.0,248.959,3.98
ALTO DA SERRA,2020-07-15,71.0,240.071,3.86
ALTO DA SERRA,2020-07-18,79.5,228.823,2.96
ALTO DA SERRA,2020-07-20,78.1,221.767,2.24
ALTO DA SERRA,2020-07-22,70.0,240.675,2.88
ALTO DA SERRA,2020-07-24,64.0,242.48,3.17
ALTO DA SERRA,2020-07-26,77.5,254.18,5.1
ALTO DA SERRA,2020-07-28,78.1,246.268,4.44
ALTO DA SERRA,2020-08-01,78.0,237.463,3.08
ALTO DA SERRA,2020-08-02,75.0,231.235,3.27
ALTO DA SERRA,2020-08-06,79.0,241.669,2.65
ALTO DA SERRA,2020-08-11,79.0,213.104,3.05
ALTO DA SERRA,2020-08-12,79.5,227.902,2.69
ALTO DA SERRA,2020-08-14,76.0,229.199,2.77
ALTO DA SERRA,2020-08-19,79.0,239.62,3.8
ALTO DA SERRA,2020-08-23,74.0,242.904,2.67
ALTO DA SERRA,2020-08-26,68.2,229.794,1.9
ALTO DA SERRA,2020-09-07,77.0,229.184,2.66
ALTO DA SERRA,2020-09-12,68.2,235.768,1.37
ALTO DA SERRA,2020-09-15,76.0,238.131,3.25
ALTO DA SERRA,2020-09-19,76.2,230.098,2.13
ALTO DA SERRA,2020-09-23,76.0,237.788,3.36
ALTO DA SERRA,2020-09-28,76.0,239.799,5.06
ALTO DA SERRA,2020-10-05,68.04,269.249,2.1
ALTO DA SERRA,2020-10-20,73.5,252.777,5.06
ALTO DA SERRA,2020-10-22,71.7,246.688,4.18
ALTO DA SERRA,2020-12-11,71.2,236.096,2.29
ALTO DA SERRA,2020-12-15,74.22,249.586,2.59
ALTO DA SERRA,2020-12-20,70.6,240.787,5.32
ALTO DA SERRA,2020-12-27,72.0,257.664,4.28
ALTO DA SERRA,2020-12-30,66.5,253.768,2.81
ALTO DA SERRA,2021-01-04,70.0,248.678,3.83
ALTO DA SERRA,2021-01-07,70.0,241.621,4.55
ALTO DA SERRA,2021-01-08,70.0,235.634,5.26
ALTO DA SERRA,2021-01-14,68.0,255.686,4.96
ALTO DA SERRA,2021-01-25,60.0,288.828,12.39
ALTO DA SERRA,2021-01-26,68.3,268.904,8.89
ALTO DA SERRA,2021-02-24,64.0,269.844,5.15
ALTO DA SERRA,2021-03-13,68.0,264.853,6.63
ALTO DA SERRA,2021-06-13,66.5,244.06,3.64
ALTO DA SERRA,2021-06-19,57.5,250.957,4.37
ALTO DA SERRA,2021-11-14,62.0,227.258,5.56
ALTO DA SERRA,2022-02-10,76.2,245.801,5.14
ALTO DA SERRA,2022-02-12,74.0,236.351,4.56
ALTO DA SERRA,2022-02-21,76.2,245.932,3.98
ALTO DA SERRA,2022-02-25,76.0,243.421,3.01
ALTO DA SERRA,2022-03-10,76.2,252.231,5.6
ALTO DA SERRA,2022-03-21,77.23,243.429,5.64
ALTO DA SERRA,2022-03-25,73.53,266.286,10.96
ALTO DA SERRA,2022-03-29,76.78,253.712,7.15
ALTO DA SERRA,2022-04-11,76.64,239.17,5.25
ALTO DA SERRA,2022-04-15,74.58,256.369,7.47
ALTO DA SERRA,2022-04-18,77.78,235.022,5.61
ALTO DA SERRA,2022-04-25,73.06,243.088,5.65
ALTO DA SERRA,2022-04-29,74.8,229.011,3.83
ALTO DA SERRA,2022-05-09,76.44,238.488,4.65
ALTO DA SERRA,2022-05-11,76.88,245.317,6.28
ALTO DA SERRA,2022-05-16,75.44,242.709,9.03
ALTO DA SERRA,2022-05-19,77.88,242.039,4.38
ALTO DA SERRA,2022-05-23,79.55,240.352,4.31
ALTO DA SERRA,2022-05-24,75.44,247.084,3.2
ALTO DA SERRA,2022-05-29,78.5,233.248,2.06
ALTO DA SERRA,2022-06-02,77.35,248.481,5.9
ALTO DA SERRA,2022-06-13,77.5,255.742,11.32
ALTO DA SERRA,2022-06-14,79.0,237.722,4.15
ALTO DA SERRA,2022-06-16,76.0,249.079,3.2
ALTO DA SERRA,2022-06-18,76.5,227.843,4.62
ALTO DA SERRA,2022-06-20,77.2,225.518,5.08
ALTO DA SERRA,2022-06-22,76.0,234.474,5.75
ALTO DA SERRA,2022-06-24,71.0,227.887,7.31
ALTO DA SERRA,2022-08-21,76.0,244.211,9.05
ALTO DA SERRA,2022-08-29,73.53,237.318,4.71
ALTO DA SERRA,2022-08-30,73.06,216.808,6.05
ALTO DA SERRA,2022-09-21,78.5,223.822,6.88
ALTO DA SERRA,2022-10-15,71.86,230.309,7.71
ALTO DA SERRA,2022-10-16,70.86,226.362,7.71
ALTO DA SERRA,2022-10-29,68.76,239.289,13.78
ALTO DA SERRA,2022-10-30,72.08,221.421,6.79
ALTO DA SERRA,2022-11-04,73.06,215.987,7.53
ALTO DA SERRA,2022-11-07,70.24,213.981,6.18
ALTO DA SERRA,2022-11-27,74.72,206.638,2.4
ALTO DA SERRA,2022-11-30,73.3,205.184,4.15
ALTO DA SERRA,2022-12-22,71.62,217.816,5.06
ALTO DA SERRA,2022-12-28,71.15,247.365,8.3
ALTO DA SERRA,2022-12-28,64.49,250.271,6.5
ALTO DA SERRA,2022-12-30,71.15,229.937,7.31
ALTO DA SERRA,2023-12-21,75.17,229.879,4.75
ALTO DA SERRA,2023-12-23,74.8,222.193,4.83
ALTO DA SERRA,2024-01-04,74.32,237.352,3.8
ALTO DA SERRA,2024-01-21,76.08,218.323,4.74
ALTO DA SERRA,2024-02-07,73.3,237.381,5.39
ALTO DA SERRA,2024-05-09,75.45,236.581,4.86
ALTO DA SERRA,2024-05-20,70.2,249.145,6.17
ALTO DA SERRA,2024-02-14,69.24,231.225,4.34
ALTO DA SERRA,2023-12-15,75.14,219.856,3.29
ALTO DA SERRA,2023-12-19,75.68,218.023,3.84
ALTO DA SERRA,2024-01-02,72.62,256.265,5.54
ALTO DA SERRA,2024-01-11,69.53,234.863,3.6
ALTO DA SERRA,2024-02-13,73.05,248.323,4.92
ALTO DA SERRA,2024-02-20,71.34,244.043,5.37
ALTO DA SERRA,2024-02-21,72.81,228.815,4.17
ALTO DA SERRA,2024-02-23,70.67,207.16,3.36
ALTO DA SERRA,2024-03-01,71.5,207.133,2.83
ALTO DA SERRA,2024-03-06,71.15,221.082,5.7
ALTO DA SERRA,2024-03-19,69.0,220.725,2.21
ALTO DA SERRA,2024-03-28,68.29,264.314,7.69
ALTO DA SERRA,2024-03-28,64.72,252.791,12.25
ALTO DA SERRA,2024-03-30,67.34,234.63,4.46
ALTO DA SERRA,2024-04-05,68.53,246.607,6.9
ALTO DA SERRA,2024-04-13,69.12,310.041,11.56
ALTO DA SERRA,2024-04-20,68.28,243.556,6.63
ALTO DA SERRA,2024-04-23,67.09,254.732,4.79
ALTO DA SERRA,2024-04-24,75.19,240.856,5.31
ALTO DA SERRA,2024-04-26,66.85,251.458,5.18
ALTO DA SERRA,2024-04-29,68.29,260.36,5.99
ALTO DA SERRA,2024-05-02,64.72,266.069,5.77
ALTO DA SERRA,2024-05-13,68.29,237.516,5.76
ALTO DA SERRA,2024-05-29,68.1,263.142,6.87
ALTO DA SERRA,2024-06-03,68.29,248.792,3.36
ALTO DA SERRA,2024-06-10,67.18,238.91,6.06
ALTO DA SERRA,2024-06-13,67.1,226.379,4.73
ALTO DA SERRA,2024-06-25,76.4,239.921,6.7
ALTO DA SERRA,2024-06-26,69.95,222.873,5.12
ALTO DA SERRA,2024-06-27,68.53,254.049,5.6
ALTO DA SERRA,2024-06-29,72.33,247.615,4.0
ALTO DA SERRA,2024-07-05,67.58,260.876,5.82
ALTO DA SERRA,2024-07-16,73.77,229.633,6.46
ALTO DA SERRA,2024-07-19,68.29,261.825,4.21
ALTO DA SERRA,2024-07-28,75.19,219.178,2.77
ALTO DA SERRA,2024-07-31,67.1,273.92,4.47
ALTO DA SERRA,2024-08-10,67.1,285.693,4.87
ALTO DA SERRA,2024-08-12,74.24,266.837,7.61
ALTO DA SERRA,2021-03-15,71.68,288.923,5.74
ALTO DA SERRA,2021-03-18,72.9,276.68,4.7
ALTO DA SERRA,2021-04-05,72.9,250.069,6.56
ALTO DA SERRA,2021-04-16,77.88,233.308,3.39
ALTO DA SERRA,2020-05-20,77.5,233.806,3.82
ALTO DA SERRA,2020-05-23,75.4,249.06,6.78
ALTO DA SERRA,2020-05-26,81.5,231.663,4.1
ALTO DA SERRA,2020-05-30,80.0,217.522,3.36
ALTO DA SERRA,2020-06-07,82.8,220.922,4.8
ALTO DA SERRA,2020-06-09,72.1,237.661,6.48
ALTO DA SERRA,2020-06-11,84.0,224.517,5.1
ALTO DA SERRA,2020-06-12,80.2,221.833,3.52
ALTO DA SERRA,2020-06-13,82.0,223.21,3.08
ALTO DA SERRA,2020-06-15,81.2,224.44,3.07
ALTO DA SERRA,2020-06-16,78.5,222.115,2.56
ALTO DA SERRA,2020-06-18,84.1,227.214,4.31
ALTO DA SERRA,2020-07-04,81.5,234.791,11.73
ALTO DA SERRA,2020-07-30,80.75,259.781,2.37
ALTO DA SERRA,2020-08-07,82.1,215.027,2.35
ALTO DA SERRA,2020-08-08,84.0,206.945,4.62
ALTO DA SERRA,2020-09-03,82.5,228.789,3.73
ALTO DA SERRA,2020-09-18,80.2,242.043,3.64
ALTO DA SERRA,2020-09-21,75.0,237.157,4.87
ALTO DA SERRA,2020-10-12,78.0,231.793,2.4
ALTO DA SERRA,2020-10-16,77.5,231.704,4.96
ALTO DA SERRA,2020-10-17,86.0,240.847,2.88
ALTO DA SERRA,2021-01-27,72.0,265.829,6.74
ALTO DA SERRA,2021-02-08,67.5,269.6,4.6
ALTO DA SERRA,2021-03-01,68.0,259.265,5.49
ALTO DA SERRA,2021-03-09,75.5,267.947,3.82
ALTO DA SERRA,2021-03-10,75.0,261.6,3.02
ALTO DA SERRA,2021-03-17,74.0,274.189,5.09
ALTO DA SERRA,2021-03-19,80.0,247.625,2.76
ALTO DA SERRA,2021-03-23,74.0,255.0,4.57
ALTO DA SERRA,2021-03-26,78.0,230.769,3.23
ALTO DA SERRA,2021-03-29,70.5,260.0,3.7
ALTO DA SERRA,2021-03-31,77.5,234.968,1.77
ALTO DA SERRA,2021-04-01,78.0,230.513,2.78
ALTO DA SERRA,2021-04-07,80.0,234.5,3.34
ALTO DA SERRA,2021-04-08,71.39,270.486,2.61
ALTO DA SERRA,2021-04-09,81.59,230.543,3.7
ALTO DA SERRA,2021-04-14,80.0,242.5,3.51
ALTO DA SERRA,2021-04-15,78.0,235.128,4.3
ALTO DA SERRA,2021-04-19,79.8,232.581,3.24
ALTO DA SERRA,2021-04-23,80.0,235.125,4.13
ALTO DA SERRA,2021-04-24,79.0,234.177,4.06
ALTO DA SERRA,2021-04-27,78.0,250.256,3.39
ALTO DA SERRA,2021-04-30,84.0,241.19,3.44
ALTO DA SERRA,2021-06-01,83.0,235.301,4.0
ALTO DA SERRA,2021-06-03,80.0,241.5,3.31
ALTO DA SERRA,2021-06-06,78.4,222.321,3.37
ALTO DA SERRA,2021-06-08,84.1,242.331,3.28
ALTO DA SERRA,2021-06-15,78.5,243.949,4.73
ALTO DA SERRA,2021-06-17,80.0,245.625,5.26
ALTO DA SERRA,2021-07-02,81.0,234.198,3.53
ALTO DA SERRA,2021-07-03,82.0,240.854,3.6
ALTO DA SERRA,2021-07-08,82.0,235.976,2.75
ALTO DA SERRA,2021-07-11,74.0,239.865,2.29
ALTO DA SERRA,2021-07-17,78.0,242.179,6.16
ALTO DA SERRA,2021-07-26,81.05,225.046,2.12
ALTO DA SERRA,2021-08-05,72.5,245.655,4.83
ALTO DA SERRA,2021-08-10,72.0,267.083,2.58
ALTO DA SERRA,2021-08-13,84.0,235.357,4.68
ALTO DA SERRA,2021-10-02,72.0,245.972,3.94
ALTO DA SERRA,2021-10-06,74.0,243.243,5.08
ALTO DA SERRA,2021-10-13,74.5,258.926,2.87
ALTO DA SERRA,2021-10-18,73.8,274.119,11.89
ALTO DA SERRA,2021-10-19,75.0,233.067,3.8
ALTO DA SERRA,2021-10-23,72.0,242.639,3.0
ALTO DA SERRA,2021-11-06,73.5,252.789,4.35
ALTO DA SERRA,2021-11-09,75.5,241.192,5.52
ALTO DA SERRA,2021-11-22,76.2,248.688,4.33
ALTO DA SERRA,2021-11-26,77.0,238.031,16.1
ALTO DA SERRA,2021-11-28,75.0,260.933,4.96
ALTO DA SERRA,2021-12-05,74.0,260.405,8.72
ALTO DA SERRA,2021-12-10,72.0,222.361,5.75
ALTO DA SERRA,2021-12-14,76.2,243.963,7.47
ALTO DA SERRA,2021-12-17,76.68,239.306,5.53
ALTO DA SERRA,2021-12-22,73.5,237.415,3.38
ALTO DA SERRA,2022-01-04,74.5,243.758,5.94
ALTO DA SERRA,2022-01-05,73.2,253.005,7.63
ALTO DA SERRA,2022-01-08,78.0,242.949,5.81
ALTO DA SERRA,2022-01-14,76.5,228.758,3.91
ALTO DA SERRA,2022-01-19,77.5,225.548,5.18
ALTO DA SERRA,2022-01-24,77.0,229.091,6.96
ALTO DA SERRA,2022-01-26,77.0,236.883,3.41
ALTO DA SERRA,2022-01-31,72.0,268.889,6.37
ALTO DA SERRA,2022-02-01,72.85,256.28,4.12
ALTO DA SERRA,2022-02-05,77.0,242.468,5.97
ALTO DA SERRA,2022-02-14,76.0,237.105,4.19
ALTO DA SERRA,2022-06-06,80.22,221.142,5.4
ALTO DA SERRA,2022-02-18,76.0,236.053,3.96
ALTO DA SERRA,2024-01-03,75.67,243.558,6.07
ALTO DA SERRA,2024-03-16,70.2,231.481,5.18
ALTO DA SERRA,2024-03-17,70.1,217.546,5.68
ALTO DA SERRA,2024-03-18,69.82,223.718,4.03
ALTO DA SERRA,2024-04-18,69.96,260.435,4.84
ALTO DA SERRA,2020-10-10,74.0,235.018,2.5
ALTO DA SERRA,2021-07-01,80.0,248.625,3.94
